date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:45	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%225af83f17-90b5%22	http://web.derayah.com/wp-content/themes/deraya/vendors/bootstrap-sass/assets/javascripts/bootstrap.min.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/bootstrap-sass/assets/javascripts/bootstrap.min4a41.js	(from http://web.derayah.com/ar/)
14:46:47	62397/62397	---M--	200	added ('OK')	application/javascript	etag:%225af83f0e-f3bd%22	http://web.derayah.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.3.1.5	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min4ee1.js	(from http://web.derayah.com/ar/)
14:46:50	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%225af83f24-17ba0%22	http://web.derayah.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://web.derayah.com/ar/)
14:46:54	107526/107526	---M--	200	added ('OK')	application/javascript	etag:%225af83f0e-1a406%22	http://web.derayah.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.3.1.5	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min4ee1.js	(from http://web.derayah.com/ar/)
14:46:54	23261/23261	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-5add%22	http://web.derayah.com/wp-content/themes/deraya/vendors/jquery.validate/jquery.validate.min.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/jquery.validate/jquery.validate.min4a41.js	(from http://web.derayah.com/ar/)
14:46:55	2700/2700	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-a8c%22	http://web.derayah.com/wp-content/themes/deraya/vendors/jquery.textfill/jquery.textfill.min.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/jquery.textfill/jquery.textfill.min4a41.js	(from http://web.derayah.com/ar/)
14:46:55	64497/64497	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-fbf1%22	http://web.derayah.com/wp-content/themes/deraya/vendors/scrolling-tabs/jquery.scrolling-tabs.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/scrolling-tabs/jquery.scrolling-tabs4a41.js	(from http://web.derayah.com/ar/)
14:46:56	5626/5626	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-15fa%22	http://web.derayah.com/wp-content/themes/deraya/vendors/responsive-tabs/responsive-tabs.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/responsive-tabs/responsive-tabs4a41.js	(from http://web.derayah.com/ar/)
14:46:56	268/268	---M--	200	added ('OK')	image/png	etag:%225af83f07-10c%22	http://web.derayah.com/wp-content/plugins/qtranslate-x/flags/arle.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/qtranslate-x/flags/arle.png	(from http://web.derayah.com/ar/)
14:46:57	14689/14689	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-3961%22	http://web.derayah.com/wp-content/themes/deraya/vendors/ekko-lightbox/ekko-lightbox.min.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/ekko-lightbox/ekko-lightbox.min4a41.js	(from http://web.derayah.com/ar/)
